City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Lingao,CN,75.2,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
592,Boma,GH,76.51,light rain,7.0805,-2.1697,Obaatanpa Hotel
595,Ilebo,CD,68.45,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
597,Uitenhage,ZA,70.63,clear sky,-33.7576,25.3971,Mi Casa Guest House
601,Fareham,GB,62.15,clear sky,50.8516,-1.1793,Lysses House Hotel
605,Alice,US,78.53,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
610,Cedral,MX,75.15,scattered clouds,23.8,-100.7333,Hotel Rocio
614,Uvinza,TZ,65.7,light rain,-5.1036,30.3911,Crown Lodge and lounge
617,Kabinda,CD,65.44,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
618,Gladstone,AU,69.73,few clouds,-23.85,151.25,Highpoint International Hotel
619,Daltenganj,IN,78.71,broken clouds,24.0333,84.0667,Hotel Galaxy Inn
620,Nueva Helvecia,UY,75.6,overcast clouds,-34.3,-57.2333,La Posada de Ofelia
625,La Paz,BO,56.95,broken clouds,-16.5,-68.15,Hotel Presidente
626,Nkhata Bay,MW,73.11,overcast clouds,-11.6066,34.2907,Mayoka Village
632,Fontainebleau,FR,63.86,clear sky,48.4044,2.6903,Hôtel Victoria Fontainebleau
633,Linares,CL,79.68,clear sky,-35.85,-71.6,Hotel Real
635,Jambi,ID,75.83,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
637,Curup,ID,66.52,broken clouds,-3.4667,102.5333,Ayi The Costel
638,Tonota,BW,69.39,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
639,Maua,BR,74.35,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
640,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
643,Nelson Bay,AU,68.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
644,Porbandar,IN,77.9,clear sky,21.6422,69.6093,Lords Inn Porbandar
646,Sulphur Springs,US,54.55,overcast clouds,33.1385,-95.6011,Clarion Pointe Sulphur Springs
649,Namatanai,PG,78.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
650,Abbeville,FR,60.76,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
651,Paita,PE,79.61,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
653,Liverpool,GB,62.38,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
660,Beni Mazar,EG,56.97,few clouds,28.4962,30.8029,Link Co-Working space & Development center
663,Thai Binh,VN,74.16,moderate rain,20.45,106.3333,Sweden Hotel
664,Dingle,PH,77.2,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
667,Cercal,PT,57.74,scattered clouds,37.806,-8.6715,Herdade Baia Baia
676,Teguise,ES,64.62,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
679,Beeville,US,78.3,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
681,Nabire,ID,76.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
685,Cairns,AU,71.55,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
692,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
693,Bowen,AU,75.52,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
695,Atherton,GB,60.94,overcast clouds,53.5237,-2.4935,The Mercury Motel
696,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
699,Vryburg,ZA,69.46,light rain,-26.9566,24.7284,The Times Premier Lodge
700,Mont-De-Marsan,FR,62.78,clear sky,44,-0.6667,Le moulin vieux
703,Carutapera,BR,78.08,overcast clouds,-1.195,-46.02,Lidera
710,Butembo,CD,57.54,overcast clouds,0.15,29.2833,Hotel Butembo
711,Pacific Grove,US,75.58,few clouds,36.6177,-121.9166,Lovers Point Inn
712,Marsa Matruh,EG,53.08,few clouds,31.3525,27.2453,Beau Site
714,Evans,US,76.23,broken clouds,33.5337,-82.1307,Evans hide out
